citizen_id,scheme_id,gold,pred_seed42,prob_seed42,pred_seed7,prob_seed7,pred_seed2025,prob_seed2025
CP-063,IW600-MS-BR-007,0,0,0.2655,0,0.0437,0,0.1573
CP-096,IW600-UK-GBR-046,0,0,0.073,0,0.047,0,0.0405
CP-020,IW600-JS-CEN-005,0,1,0.6829,0,0.0762,0,0.1584
CP-048,IW600-MS-CG-017,0,0,0.0365,0,0.4437,0,0.0149
CP-032,IW600-MS-CEN-006,1,1,0.981,1,0.9834,1,0.9131
CP-047,IW600-JS-CEN-013,0,0,0.1074,0,0.0265,0,0.0217
CP-014,IW600-MS-DL-002,0,0,0.0525,0,0.083,0,0.0189
CP-030,IW600-MS-MH-017,0,0,0.0155,0,0.0459,0,0.0214
CP-089,IW600-MS-CEN-002,1,1,0.9872,1,0.99,1,0.9891
CP-030,IW600-MS-AP-013,0,0,0.0218,0,0.0468,0,0.0238
CP-058,IW600-MS-GJ-013,0,0,0.0269,0,0.0346,0,0.0179
CP-022,IW600-MS-CEN-001,0,0,0.0292,0,0.0397,0,0.0146
CP-062,IW600-MS-BR-009,0,1,0.6223,0,0.4669,0,0.1877
CP-045,IW600-JS-CEN-010,0,0,0.4509,1,0.7843,1,0.8974
CP-012,IW600-MS-HP-002,0,0,0.0265,0,0.0188,0,0.0252
CP-061,IW600-UK-GBR-053,0,0,0.0276,0,0.0375,0,0.0527
CP-046,IW600-MS-MH-011,0,0,0.2718,0,0.0945,0,0.0933
CP-100,IW600-JS-CEN-015,0,1,0.7167,0,0.4758,1,0.9752
CP-082,IW600-MS-CEN-001,0,0,0.0569,0,0.0562,0,0.0496
CP-072,IW600-UK-GBR-018,0,0,0.0187,0,0.102,0,0.0624
CP-014,IW600-MS-KL-019,1,0,0.0607,0,0.2162,1,0.9825
CP-077,IW600-UK-GBR-025,0,0,0.0555,0,0.0772,0,0.0604
CP-001,IW600-UK-GBR-013,0,0,0.0248,0,0.0216,0,0.0215
CP-031,IW600-MS-CEN-002,1,1,0.9875,1,0.9904,1,0.9955
CP-008,IW600-UK-GBR-026,0,0,0.0233,0,0.0396,0,0.0576
CP-072,IW600-MS-CH-013,0,0,0.0562,0,0.142,0,0.0547
CP-005,IW600-MS-CEN-005,0,0,0.1699,0,0.0597,0,0.0221
CP-051,IW600-MS-CEN-005,0,0,0.2042,0,0.0416,0,0.063
CP-006,IW600-JS-CEN-012,1,1,0.9857,1,0.9888,1,0.9873
CP-030,IW600-JS-CEN-010,0,1,0.5992,0,0.0881,1,0.533
CP-046,IW600-MS-MH-009,0,0,0.0589,0,0.0314,0,0.0345
CP-087,IW600-JS-CEN-011,0,0,0.1169,0,0.2217,1,0.8718
CP-055,IW600-UK-GBR-046,0,0,0.0427,0,0.0439,0,0.072
CP-008,IW600-MS-KA-020,1,0,0.06,0,0.108,0,0.1498
CP-023,IW600-MS-SK-001,0,0,0.0875,0,0.0498,0,0.0414
CP-027,IW600-UK-GBR-018,0,0,0.0258,0,0.0255,0,0.0249
CP-040,IW600-MS-KL-002,0,0,0.085,0,0.048,0,0.0142
CP-045,IW600-MS-MH-005,1,0,0.1531,0,0.1612,0,0.3277
CP-024,IW600-MS-AP-020,0,0,0.3411,1,0.6551,0,0.4894
CP-094,IW600-MS-AS-013,1,0,0.2137,0,0.1663,0,0.0321
CP-065,IW600-MS-CEN-005,0,0,0.0296,0,0.0489,0,0.0285
CP-020,IW600-US-USA-009,0,0,0.0292,0,0.0307,0,0.0213
CP-085,IW600-JS-CEN-013,0,0,0.0324,0,0.0218,0,0.0344
CP-015,IW600-MS-KL-017,0,0,0.2284,0,0.1539,0,0.0515
CP-091,IW600-JS-CEN-010,0,0,0.216,1,0.6095,1,0.6641
CP-036,IW600-JS-CEN-009,1,0,0.2427,0,0.0819,0,0.0542
CP-024,IW600-UK-GBR-037,0,0,0.0209,0,0.0269,0,0.0166
CP-007,IW600-US-USA-013,0,0,0.0265,0,0.0647,0,0.0225
CP-015,IW600-JS-CEN-012,1,1,0.9942,1,0.9905,1,0.9867
CP-060,IW600-TN-TN-028,0,0,0.0751,0,0.0257,0,0.0477
CP-042,IW600-TN-TN-042,0,0,0.2276,0,0.1479,0,0.0971
CP-023,IW600-JS-CEN-002,0,0,0.0805,0,0.0605,0,0.0656
CP-022,IW600-MS-AP-010,1,0,0.2262,0,0.042,0,0.4287
CP-065,IW600-TN-TN-007,0,0,0.0229,0,0.0462,0,0.0139
CP-062,IW600-UK-GBR-005,0,1,0.8966,0,0.3919,0,0.1756
CP-041,IW600-MS-DL-004,0,1,0.9527,0,0.4494,1,0.9589
CP-030,IW600-MS-UP-002,0,0,0.4492,0,0.0491,0,0.0271
CP-083,IW600-US-USA-010,0,0,0.0264,0,0.0189,0,0.0355
CP-085,IW600-UK-GBR-025,0,0,0.0531,0,0.0546,0,0.0559
CP-062,IW600-UK-GBR-043,0,0,0.0449,0,0.0402,0,0.0751
CP-097,IW600-TN-TN-096,0,1,0.9418,0,0.0942,0,0.1285
CP-013,IW600-TN-TN-014,0,0,0.0192,0,0.0635,0,0.0209
CP-020,IW600-UK-GBR-031,0,0,0.0151,0,0.0226,0,0.0124
CP-054,IW600-MS-GJ-013,0,0,0.0302,0,0.0284,0,0.0267
CP-026,IW600-MS-UP-005,0,0,0.0211,0,0.0745,0,0.0274
CP-017,IW600-MS-AS-012,0,0,0.0321,0,0.1975,0,0.3252
CP-042,IW600-MS-AS-005,0,0,0.0486,0,0.1074,0,0.0652
CP-042,IW600-MS-KL-013,0,0,0.0783,0,0.0948,0,0.0781
CP-030,IW600-MS-UP-019,0,0,0.2077,0,0.0822,0,0.0515
CP-030,IW600-MS-UP-011,0,0,0.0327,0,0.0449,0,0.0352
CP-096,IW600-JS-CEN-004,1,1,0.9924,1,0.9908,1,0.988
CP-010,IW600-JS-CEN-001,1,1,0.9632,1,0.9848,1,0.9658
CP-063,IW600-MS-BR-006,0,0,0.098,0,0.0405,0,0.0673
CP-062,IW600-MS-BR-013,1,1,0.615,1,0.7196,1,0.5362
CP-079,IW600-TN-TN-085,0,0,0.0897,0,0.0619,0,0.074
CP-024,IW600-MS-AP-006,0,0,0.0372,0,0.0272,0,0.0139
CP-042,IW600-MS-KL-004,0,0,0.0869,0,0.1199,0,0.0695
CP-097,IW600-MS-UP-004,0,0,0.0918,0,0.0159,0,0.0224
CP-085,IW600-JS-CEN-007,1,1,0.9844,1,0.9637,1,0.9851
CP-004,IW600-TN-TN-044,1,0,0.2982,0,0.056,0,0.1394
CP-009,IW600-MS-KA-012,0,0,0.3054,0,0.0949,0,0.3586
CP-083,IW600-MS-HP-006,0,0,0.0236,0,0.0196,0,0.0456
CP-018,IW600-MS-KL-019,1,0,0.0816,0,0.4091,0,0.303
CP-042,IW600-TN-TN-108,0,1,0.8293,0,0.4031,0,0.2242
CP-030,IW600-MS-KA-004,0,0,0.0163,0,0.0469,0,0.0226
CP-002,IW600-TN-TN-091,1,1,0.5196,1,0.8294,1,0.9511
CP-076,IW600-US-USA-037,0,0,0.0209,0,0.0212,0,0.0204
CP-084,IW600-UK-GBR-037,0,0,0.0295,0,0.0249,0,0.0155
CP-055,IW600-UK-GBR-048,0,0,0.0519,0,0.0375,0,0.0663
CP-028,IW600-JS-CEN-004,1,1,0.9777,1,0.9875,1,0.989
CP-013,IW600-MS-CEN-001,0,0,0.0214,0,0.0559,0,0.0157
CP-063,IW600-JS-CEN-013,0,0,0.0643,0,0.0549,0,0.0319
CP-048,IW600-MS-CEN-001,0,0,0.0205,0,0.2497,0,0.0347
CP-014,IW600-UK-GBR-059,0,0,0.0242,0,0.0551,0,0.0154
CP-067,IW600-MS-MH-001,0,0,0.0525,0,0.0487,0,0.0647
CP-030,IW600-JS-CEN-012,1,1,0.986,1,0.991,1,0.984
CP-057,IW600-MS-GJ-013,0,0,0.0241,0,0.0249,0,0.0599
CP-011,IW600-MS-KA-015,1,0,0.0888,0,0.0919,0,0.2583
CP-009,IW600-MS-CEN-003,0,1,0.9179,0,0.0643,1,0.9443
CP-066,IW600-TN-TN-019,0,0,0.0178,0,0.0267,0,0.0697
CP-007,IW600-MS-KA-004,0,0,0.0396,0,0.0459,0,0.2624
CP-015,IW600-MS-HP-006,0,0,0.0254,0,0.1137,0,0.0438
CP-023,IW600-TN-TN-005,0,0,0.0189,0,0.0424,0,0.0309
CP-094,IW600-MS-KL-002,0,0,0.0187,0,0.1051,0,0.0146
CP-019,IW600-JS-CEN-013,0,0,0.0902,0,0.1088,0,0.0694
CP-082,IW600-MS-CEN-002,1,1,0.9918,1,0.9895,1,0.99
CP-058,IW600-MS-CEN-005,0,0,0.0556,0,0.0386,0,0.0169
CP-002,IW600-TN-TN-131,1,1,0.5937,1,0.9581,1,0.9817
CP-015,IW600-MS-KL-011,0,0,0.1731,0,0.1986,0,0.032
CP-080,IW600-JS-CEN-006,0,0,0.0564,0,0.0529,0,0.15
CP-055,IW600-MS-RJ-018,0,0,0.0334,0,0.0377,0,0.0737
CP-094,IW600-MS-CEN-005,0,0,0.1206,0,0.062,0,0.0445
CP-092,IW600-TN-TN-106,0,1,0.5205,0,0.3276,0,0.2213
CP-041,IW600-US-USA-029,0,0,0.019,0,0.0554,0,0.0248
CP-052,IW600-JS-CEN-004,1,1,0.9874,1,0.987,1,0.9857
CP-042,IW600-MS-BR-010,0,0,0.2638,0,0.2951,0,0.3697
CP-097,IW600-TN-TN-025,0,0,0.0556,0,0.022,0,0.0136
CP-006,IW600-TN-TN-055,1,1,0.9717,1,0.9738,1,0.9821
CP-038,IW600-TN-TN-049,0,0,0.0951,0,0.0992,0,0.0396
CP-033,IW600-MS-AR-005,0,0,0.0235,0,0.0245,0,0.0304
CP-056,IW600-UK-GBR-014,0,0,0.017,0,0.0217,0,0.0121
CP-040,IW600-UK-GBR-045,0,0,0.0524,0,0.0382,0,0.0135
CP-023,IW600-MS-AP-002,0,0,0.2056,0,0.1216,0,0.0465
CP-080,IW600-JS-CEN-007,1,1,0.9818,1,0.9463,1,0.9761
CP-063,IW600-MS-CEN-005,0,0,0.1278,0,0.0413,0,0.0239
CP-016,IW600-UK-GBR-018,0,0,0.0194,0,0.1293,0,0.0122
CP-055,IW600-MS-GJ-018,1,0,0.3509,0,0.2252,1,0.7651
CP-007,IW600-MS-KL-011,0,0,0.025,0,0.0201,0,0.0118
CP-007,IW600-MS-GA-013,0,0,0.0243,0,0.024,0,0.013
CP-097,IW600-TN-TN-017,0,0,0.2599,0,0.0185,0,0.0155
CP-055,IW600-MS-UP-002,0,0,0.0644,0,0.0466,0,0.0688
CP-004,IW600-JS-CEN-013,0,0,0.0846,0,0.0523,0,0.0326
CP-051,IW600-MS-MH-015,0,0,0.2319,0,0.1557,0,0.0779
CP-075,IW600-MS-CEN-002,1,1,0.9918,1,0.9877,1,0.9956
CP-043,IW600-MS-KA-020,0,0,0.3826,0,0.2024,0,0.1665
CP-050,IW600-UK-GBR-004,0,0,0.0236,0,0.0288,0,0.0129
CP-023,IW600-TN-TN-073,0,0,0.0393,0,0.0624,0,0.0419
CP-011,IW600-TN-TN-085,0,0,0.024,0,0.0546,0,0.0484
CP-022,IW600-TN-TN-063,0,0,0.0679,0,0.0978,0,0.017
CP-046,IW600-MS-AN-005,0,0,0.1885,0,0.0663,0,0.0229
CP-002,IW600-MS-KL-011,0,0,0.0322,0,0.0474,0,0.0115
CP-058,IW600-MS-GJ-001,0,0,0.0359,0,0.0401,0,0.0244
CP-023,IW600-MS-CG-002,0,0,0.0338,0,0.1328,0,0.0698
CP-035,IW600-MS-RJ-019,0,0,0.0359,0,0.0558,0,0.0537
CP-048,IW600-JS-CEN-001,1,1,0.9822,1,0.9885,1,0.9848
CP-079,IW600-JS-CEN-002,0,0,0.1565,0,0.1065,0,0.0711
CP-040,IW600-TN-TN-034,0,0,0.073,0,0.0422,0,0.0162
CP-097,IW600-JS-CEN-003,0,1,0.9885,1,0.9696,1,0.9909
CP-023,IW600-TN-TN-057,0,0,0.3173,0,0.0989,0,0.0424
CP-061,IW600-MS-BR-018,0,0,0.0233,0,0.0345,0,0.0737
CP-026,IW600-UK-GBR-001,0,0,0.0268,0,0.191,0,0.1383
CP-033,IW600-UK-GBR-001,0,0,0.0359,0,0.0152,0,0.0491
CP-001,IW600-UK-GBR-005,0,1,0.836,0,0.0442,0,0.4103
CP-008,IW600-UK-GBR-020,0,0,0.0217,0,0.0383,0,0.0654
CP-079,IW600-US-USA-049,1,0,0.0519,0,0.0464,0,0.0651
CP-038,IW600-UK-GBR-043,0,0,0.0635,0,0.2853,0,0.0625
CP-044,IW600-UK-GBR-043,0,0,0.0331,0,0.3619,0,0.0148
CP-001,IW600-US-USA-004,0,0,0.0278,0,0.024,0,0.0335
CP-038,IW600-US-USA-004,0,0,0.0782,0,0.0947,0,0.0295
CP-101,IW600-TN-TN-022,1,0,0.3165,1,0.5196,1,0.9668
CP-101,IW600-TN-TN-017,1,0,0.243,0,0.1525,1,0.7983
CP-102,IW600-MS-GA-003,1,0,0.3604,0,0.186,0,0.2627
CP-103,IW600-US-USA-021,1,0,0.255,0,0.2524,0,0.3498
CP-103,IW600-US-USA-024,1,0,0.2375,0,0.2647,1,0.5695
CP-104,IW600-MS-KL-008,1,0,0.1327,0,0.0721,0,0.0938
CP-102,IW600-MS-GA-020,1,0,0.1676,1,0.5902,0,0.389
CP-105,IW600-US-USA-001,1,0,0.0328,0,0.1202,0,0.3308
CP-105,IW600-UK-GBR-043,0,0,0.057,0,0.2584,0,0.3421
CP-106,IW600-JS-CEN-014,1,1,0.9735,1,0.9828,1,0.9825
CP-107,IW600-JS-CEN-014,1,1,0.9718,1,0.9739,1,0.9825
CP-108,IW600-JS-CEN-014,1,1,0.9705,1,0.983,1,0.983
CP-109,IW600-UK-GBR-001,1,0,0.0259,0,0.0242,0,0.0318
CP-110,IW600-UK-GBR-005,1,1,0.8875,1,0.6896,1,0.7155
CP-109,IW600-UK-GBR-020,1,0,0.0298,0,0.0349,0,0.1204
CP-110,IW600-UK-GBR-043,1,0,0.0438,0,0.0528,1,0.827
